file,language,size,line_count,vuln_count,top_vulns
/mnt/c/Users/Owner/Downloads/ML_Project/Machine_Learning_Project-main/Machine_Learning_Project-main/code_samples/java_samples/JavaVulnProject/src/NetworkClient.java,.java,1020,32,1,
/mnt/c/Users/Owner/Downloads/ML_Project/Machine_Learning_Project-main/Machine_Learning_Project-main/code_samples/java_samples/JavaVulnProject/src/SecureUtils.java,.java,574,21,1,
/mnt/c/Users/Owner/Downloads/ML_Project/Machine_Learning_Project-main/Machine_Learning_Project-main/code_samples/java_samples/JavaVulnProject/src/TransactionProcessor.java,.java,609,19,1,
/mnt/c/Users/Owner/Downloads/ML_Project/Machine_Learning_Project-main/Machine_Learning_Project-main/code_samples/java_samples/JavaVulnProject/src/User.java,.java,402,19,1,
/mnt/c/Users/Owner/Downloads/ML_Project/Machine_Learning_Project-main/Machine_Learning_Project-main/code_samples/java_samples/JavaVulnProject/src/UserManager.java,.java,1176,43,1,
/mnt/c/Users/Owner/Downloads/ML_Project/Machine_Learning_Project-main/Machine_Learning_Project-main/code_samples/java_samples/JavaVulnProject/src/VulnerableUtils.java,.java,839,29,1,
/mnt/c/Users/Owner/Downloads/ML_Project/Machine_Learning_Project-main/Machine_Learning_Project-main/code_samples/java_samples/SQLTest1.java,.java,804,25,1,
/mnt/c/Users/Owner/Downloads/ML_Project/Machine_Learning_Project-main/Machine_Learning_Project-main/code_samples/java_samples/SQLTest2.java,.java,882,29,1,
/mnt/c/Users/Owner/Downloads/ML_Project/Machine_Learning_Project-main/Machine_Learning_Project-main/code_samples/java_samples/j2.java,.java,153,6,1,Hardcoded password
/mnt/c/Users/Owner/Downloads/ML_Project/Machine_Learning_Project-main/Machine_Learning_Project-main/code_samples/java_samples/j3.java,.java,254,7,1,
/mnt/c/Users/Owner/Downloads/ML_Project/Machine_Learning_Project-main/Machine_Learning_Project-main/code_samples/java_samples/j4.java,.java,271,8,1,
/mnt/c/Users/Owner/Downloads/ML_Project/Machine_Learning_Project-main/Machine_Learning_Project-main/code_samples/java_samples/j5.java,.java,134,6,1,
/mnt/c/Users/Owner/Downloads/ML_Project/Machine_Learning_Project-main/Machine_Learning_Project-main/code_samples/java_samples/j6.java,.java,2191,73,1,
/mnt/c/Users/Owner/Downloads/ML_Project/Machine_Learning_Project-main/Machine_Learning_Project-main/code_samples/java_samples/j7.java,.java,1735,65,1,
/mnt/c/Users/Owner/Downloads/ML_Project/Machine_Learning_Project-main/Machine_Learning_Project-main/code_samples/java_samples/j8.java,.java,1528,43,1,
/mnt/c/Users/Owner/Downloads/ML_Project/Machine_Learning_Project-main/Machine_Learning_Project-main/code_samples/java_samples/java_test1.java,.java,143,6,1,
/mnt/c/Users/Owner/Downloads/ML_Project/Machine_Learning_Project-main/Machine_Learning_Project-main/code_samples/java_samples/java_tests/j2.java,.java,153,6,1,Hardcoded password
